nome,porcentagem_desconto,preço,tipo,plataforma,sistema
Darkest Dungeon: Color Of Madness,0,"R$ 10,89",DLC,pc,"steam,windows,linux,mac"
The Legend of Heroes: Trails of Cold Steel,0,"R$ 72,99",Padrão,pc,"steam,windows"
GRIS,0,"R$ 32,99",Padrão,pc,"steam,windows,mac"
RESIDENT EVIL 2 / BIOHAZARD RE:2,-76%,"R$ 20,99",Padrão,pc,"steam,windows"
Darkest Dungeon: The Shieldbreaker,0,"R$ 8,69",DLC,pc,"steam,windows,linux,mac"
LEGO Marvel Super Heroes,0,"R$ 89,99",Padrão,pc,"steam,windows"
Resident Evil 5 - Gold Edition,0,Indisponivel,Padrão,pc,"steam,windows"
R$10 PlayStation Store - Cartão Presente Digital,0,"R$ 10,00",Padrão,console,playstation
DayZ,0,"R$ 119,99",Padrão,pc,"steam,windows"
Nintendo - Gift Card Digital 50 Reais,0,"R$ 50,00",Padrão,console,nintendo
DEVIL MAY CRY 5 + VERGIL,-68%,"R$ 27,99",Padrão,pc,"steam,windows"
Darkest Dungeon: The Crimson Court,0,"R$ 19,99",DLC,pc,"steam,windows,linux,mac"
The Legend of Heroes: Trails of Cold Steel II,0,"R$ 72,99",Padrão,pc,"steam,windows"
LEGO Harry Potter Years 5-7,0,"R$ 89,99",Padrão,pc,"steam,windows"
Castlevania: Lords of Shadow - Ultimate Edition,0,"R$ 49,99",Padrão,pc,"steam,windows"
Resident Evil Revelations,-77%,"R$ 13,79",Padrão,pc,"steam,windows"
The Legend of Heroes: Trails in the Sky SC,0,"R$ 69,99",Padrão,pc,"steam,windows"
Dragon's Dogma: Dark Arisen,-84%,"R$ 11,99",Padrão,pc,"steam,windows"
LEGO The Lord of the Rings,0,"R$ 89,99",Padrão,pc,"steam,windows"
Hotline Miami,0,"R$ 16,99",Padrão,pc,"steam,windows,linux,mac"
Nintendo - Gift Card Digital 250 Reais,0,"R$ 250,00",Padrão,console,nintendo
LEGO City Undercover,0,"R$ 89,99",Padrão,pc,"steam,windows"
Metal Gear Solid V: Ground Zeroes,0,"R$ 36,99",Padrão,pc,"steam,windows"
R$60 PlayStation Store - Cartão Presente Digital,0,"R$ 60,00",Padrão,console,playstation
Hotline Miami 2: Wrong Number - Digital Special Edition,0,"R$ 34,99",Padrão,pc,"steam,windows,linux,mac"
GTA Online: Great White Shark Cash Card,0,"R$ 35,99",Padrão,pc,windows
R$150 PlayStation Store - Cartão Presente Digital + Bônus de 2XP Duplo COD Warzone,0,"R$ 150,00",Padrão,console,playstation
Ultra Street Fighter IV,-87%,"R$ 7,79",Padrão,pc,"steam,windows"
For The King Double Keys,0,"R$ 75,98",Padrão,pc,"steam,windows,mac"
Devil May Cry 4: Edição Especial,-72%,"R$ 13,99",Padrão,pc,"steam,windows"
