,nome,porcentagem_desconto,preco,tipo,plataforma,sistema
207,middleearth shadow of mordor  game of the year edition,94,4.5,padrao,pc,"steam,windows,linux,mac"
208,ultimate marvel vs. capcom 3,0,54.99,padrao,pc,"steam,windows"
209,euro truck simulator 2  italia,0,44.99,dlc,pc,"steam,windows,linux,mac"
210,trailmakers,0,47.49,padrao,pc,"steam,windows"
211,wrc 10 fia world rally championship,0,109.99,padrao,pc,"steam,windows"
212,middleearth shadow of war,94,11.5,padrao,pc,"steam,windows"
213,r$150 playstation store  cartao presente digital + bonus de 2xp duplo cod warzone,0,150.0,padrao,console,playstation
214,xbox  cartao presente digital 50 reais,0,50.0,padrao,"pc,console","windows,xbox"
215,r$450 playstation store  cartao presente digital,0,450.0,padrao,console,playstation
216,nintendo  gift card digital 100 reais,0,100.0,padrao,console,nintendo
217,darkest dungeon the crimson court,0,19.99,dlc,pc,"steam,windows,linux,mac"
218,naruto shippuden ultimate ninja storm 4  road to boruto,0,122.16,padrao,pc,"steam,windows"
219,naruto shippuden ultimate ninja storm 4,0,97.0,padrao,pc,"steam,windows"
220,lego jurassic world,90,8.99,padrao,pc,"steam,windows"
221,s.t.a.l.k.e.r. shadow of chernobyl,0,34.99,padrao,pc,"steam,windows"
222,xbox  cartao presente digital 10 reais,0,10.0,padrao,"pc,console","windows,xbox"
223,silent hill homecoming,0,34.99,padrao,pc,"steam,windows"
224,graveyard keeper,60,15.19,padrao,pc,"steam,windows,linux,mac"
225,destiny 2 lightfall + annual pass,32,202.49,dlc,pc,"steam,windows"
226,destiny 2 bungie 30th anniversary pack,60,29.99,dlc,pc,"steam,windows"
227,the last campfire,0,28.99,padrao,pc,"steam,windows"
228,ni no kuni ii revenant kingdom  season pass,0,59.9,dlc,pc,"steam,windows"
229,super bomberman r,0,150.0,padrao,pc,"steam,windows"
230,destiny 2 legacy collection,50,74.99,padrao,pc,"steam,windows"
231,solasta crown of the magister,65,27.65,padrao,pc,"steam,windows"
232,super mario maker 2,0,299.0,padrao,console,nintendo
233,castlevania lords of shadow 2  armored dracula costume,0,2.19,dlc,pc,"steam,windows"
234,star wars knights of the old republic ii  the sith lords,0,19.99,padrao,pc,"steam,windows,linux,mac"
235,warhammer chaosbane  slayer edition,0,75.49,padrao,pc,"steam,windows"
236,sid meiers civilization vi  platinum edition,0,161.2,padrao,pc,"steam,windows"
237,tom clancys ghost recon breakpoint,0,179.0,padrao,pc,windows
238,one piece burning blood,0,129.99,padrao,pc,"steam,windows"
239,star wars rebellion,0,12.39,padrao,pc,"steam,windows"
240,the dark pictures anthology  little hope,50,39.95,padrao,pc,"steam,windows"
241,jurassic world evolution 2  deluxe edition,0,127.99,padrao,pc,"steam,windows"
242,xbox game pass para pc + ea play  3 meses,0,89.99,padrao,"pc,console","windows,xbox"
243,a lenda do heroi  ediçao definitiva,0,29.99,padrao,pc,"steam,windows"
244,loop hero,0,34.99,padrao,pc,"steam,windows,linux,mac"
245,animal crossing new horizons,0,299.0,padrao,console,nintendo
246,overcooked! 2,75,14.97,padrao,pc,"steam,windows,linux,mac"
247,dropsy,0,19.99,padrao,pc,"steam,windows,linux,mac"
248,alone in the dark the new nightmare,0,13.99,padrao,pc,"steam,windows"
249,motogp 13,0,36.99,padrao,pc,"steam,windows"
250,worms revolution,85,4.19,padrao,pc,"steam,windows"
251,american truck simulator  utah,0,31.99,dlc,pc,"steam,windows,linux,mac"
252,destiny 2 fortaleza das sombras,60,18.99,dlc,pc,"steam,windows"
253,exit the gungeon,0,20.69,padrao,pc,"steam,windows"
254,darksiders iii,0,75.49,padrao,pc,"steam,windows"
255,sword art online re hollow fragment,0,37.99,padrao,pc,"steam,windows"
256,overcooked,80,7.79,padrao,pc,"steam,windows"
257,thehunter call of the wild  modern rifle pack,0,8.69,dlc,pc,"steam,windows"
258,american truck simulator  heavy cargo pack,0,12.19,dlc,pc,"steam,windows,linux,mac"
259,okami hd,0,39.99,padrao,pc,"steam,windows"
260,soulcalibur vi,0,159.9,padrao,pc,"steam,windows"
261,r$30 playstation store  cartao presente digital,0,30.0,padrao,console,playstation
